매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대,분기,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구,점포수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,버스정류장_수
0.0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),1,1,458,199,39,3537,0,0,0,0,52892,603,0,0,9192.2,8739.5,0.0,2859.34975,0.189064509,0.567193526,0.945322544,0.085152838,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2020,골목상권,2111002,한국교통안전공단 강남자동차검사소,1,1,317,0,317,0,0,0,0,0,59240,570,0,0,10.8,78.0,0.0,2860.165729,0.168804862,0.506414585,0.506414585,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
175753.2619,2020,골목상권,2110949,한남IC,1,2,618,300,1683,81074,0,0,0,0,62126,0,0,0,59781.2,51582.0,112.0,2860.165729,0.0,0.965779223,0.321926408,2.723300971,,,,,,,,,,,,,,,,,,,,,,,,,
112557.9341,2020,골목상권,2110951,신사은행나무공원,1,2,1039,580,273,130109,0,0,0,1,29000,0,0,0,87944.8,70970.0,161.0,2860.3628,0.0,1.034482759,0.689655172,0.262752647,,,,,,,,,,,,,,,,,,,,,,,,,
150574.3663,2020,골목상권,2110952,논현목련공원,1,2,879,583,117,72026,0,0,0,0,21629,0,0,0,35001.8,34551.5,257.0,2861.082234,0.0,1.387026677,0.924684451,0.133105802,,,,,,,,,,,,,,,,,,,,,,,,,
30195.31502,2020,골목상권,2110954,국기원,1,2,497,335,636,46303,0,0,0,2,39798,0,0,0,65280.6,60065.5,34.0,2861.331332,0.0,0.753806724,0.753806724,1.279678068,,,,,,,,,,,,,,,,,,,,,,,,,
218306.5714,2020,골목상권,2110955,논현초등학교,1,2,7080,4369,3430,709538,0,0,0,2,190912,0,0,0,396475.0,366748.5,1958.0,2862.21027,0.0,1.571404626,0.523801542,0.484463277,,,,,,,,,,,,,,,,,,,,,,,,,
181537.7179,2020,골목상권,2110957,언북중학교,1,2,1816,1116,1251,179300,0,0,0,3,94815,0,0,0,156722.4,100815.5,532.0,2861.312398,0.0,0.632811264,0.843748352,0.688876652,,,,,,,,,,,,,,,,,,,,,,,,,
122343.3333,2020,골목상권,2110958,역삼역 4번,1,2,858,528,994,66614,0,0,0,2,73119,0,0,0,72654.2,42943.5,290.0,2861.964757,0.0,0.410290075,1.230870225,1.158508159,,,,,,,,,,,,,,,,,,,,,,,,,
42585.68132,2020,골목상권,2110959,신구중학교,1,2,365,166,271,21486,0,0,0,0,35959,0,0,0,19822.6,14757.5,82.0,2862.494938,0.0,0.83428349,2.224755972,0.742465753,,,,,,,,,,,,,,,,,,,,,,,,,
